name,cpf,score
JERRY TURNER,28437650135,73.95
ALICE ALLEN,28436705190,80.47
DAVID RAY,28436701526,71.24
DIANE ALVAREZ,28436571053,80.13
RICHARD HARRISON,28461507371,97.14
PATRICK KELLEY,28463570135,81.91
DONALD RYAN,28461350707,96.26
KEITH GRIFFIN,28456710326,88.02
CHRISTOPHER KING,28456130753,90.47
DONALD GARRETT,28456017353,79.51
KATHLEEN MYERS,28453670153,71.95
DEBORAH ROBERTS,28451760317,89.45
PAULA WEAVER,28453076162,74.36
JIMMY OLIVER,28451736017,72.9
ANNIE ORTIZ,28467513071,72.51
JUDY CUNNINGHAM,28467503190,80.32
BONNIE BUTLER,28467103507,88.55
DIANE CRAWFORD,28465703108,84.85
JEFFREY ANDREWS,28465731071,71.04
JOAN GILBERT,28467013508,97.59
MARGARET WHEELER,28465317062,94.07
JASON MCCOY,28465301735,97.21
HEATHER HERNANDEZ,28465013780,93.42
JONATHAN LONG,28471053608,90.58
TERRY GIBSON,28471603535,83.31
MELISSA WASHINGTON,28473106571,87.93
KELLY ALVAREZ,28471036517,75.65
JOAN TAYLOR,28470531662,92.68
JOE HALL,28470615335,85.06
ANNE FULLER,28467053135,87.11
EMILY GRIFFIN,28470351680,93.85
CYNTHIA PAYNE,28470316508,75.81
BOBBY GRIFFIN,28470163507,82.37
PHILIP DUNCAN,28470156390,98.83
PHILLIP KIM,28501346780,95.25
DIANE FERNANDEZ,28503147653,70.56
DEBRA PARKER,28501376426,97.46
MARIE SMITH,28476350171,95.59
SANDRA BRADLEY,28476035144,73.88
MARILYN HANSEN,28475610307,70.04
BENJAMIN FOWLER,28475310680,94.12
GREGORY GREENE,28475130607,90.36
RUSSELL EDWARDS,28475061362,73.96
HEATHER MURRAY,28475031617,90.67
VIRGINIA PORTER,28506341744,81.42
JAMES RODRIGUEZ,28504713644,84.08
ROGER YOUNG,28504736180,86.6
WAYNE YOUNG,28504673162,91.76
LILLIAN MEDINA,28504631753,77.2
SARA RICE,28504371662,76.38
KEVIN WILLIAMS,28504617335,76.05
CARL HENDERSON,28504137635,98.83
FRANCES BLACK,28503716453,77.65
SEAN GARDNER,28503471671,87.85
PAULA CUNNINGHAM,28510374635,83.92
STEPHEN POWELL,28510637407,72.47
BRIAN FIELDS,28510437653,72
LAURA KNIGHT,28507643108,86.05
JESSICA RYAN,28507634117,75.15
DEBORAH MURRAY,28507341608,91.3
DEBORAH MILLER,28507143644,99.62
DIANE ARMSTRONG,28507314635,92.99
ANNE WOODS,28506714362,97.14
RAYMOND HANSEN,28514670344,79.87
HARRY PHILLIPS,28514367080,84.22
JACQUELINE HUDSON,28514637053,88.29
JANET RAMIREZ,28514360744,80.32
EVELYN BURKE,28513647071,91
DAVID GORDON,28513746053,86.25
CATHERINE DIXON,28513407607,80.84
TERESA HANSEN,28513604771,93.89
PHILLIP MENDOZA,28513460753,82.31
PAUL WELCH,28513074608,75.56
STEVEN WILLIS,28510367426,72.64
PAUL HENRY,28517640390,76.35
MARIE SIMMONS,28530416708,89.11
TODD WEBB,28517463080,71.22
JOHN MURPHY,28530147626,82.55
SANDRA MARTINEZ,28516740307,93.33
WANDA WALKER,28516043762,95.15
JANICE DAVIS,28514763008,73.34
BEVERLY RICHARDS,28514703617,91.62
NANCY HAMILTON,28514760335,74.68
SUSAN CLARK,28514673017,87.1
JACK RUSSELL,28536071435,70.42
PETER LEWIS,28536104708,78.82
CARLOS FORD,28534761035,85.33
GREGORY WARD,28536147008,70.06
ROBIN FRANKLIN,28534017662,76.34
AARON MENDOZA,28531706408,86.44
MARILYN VASQUEZ,28534716080,80.68
JACK POWELL,28531607426,88.35
KENNETH GORDON,28531476062,80.3
TERRY PIERCE,28531604753,74.29
JOAN EDWARDS,28537641090,77.3
MARILYN OLSON,28537461008,90.95
CHERYL WILSON,28540316790,95.19
KAREN CLARK,28540613735,93.93
JUAN SIMS,28536704144,81.47
CLARENCE REED,28537014680,94.98
MARY LOPEZ,28536710462,76.85
ROBERT GOMEZ,28536174080,89.43
JEFFREY RICE,28536410744,90.24
ROBIN ARNOLD,28536417080,83.38
AMANDA HARVEY,28546170371,83.99
SANDRA WOODS,28546310726,95.23
JOSEPH GRANT,28546173044,82.87
LILLIAN ROBERTS,28546370117,72.8
JOSEPH HOWARD,28543716071,76.79
JOHN HAMILTON,28543071607,77.62
JANE SIMS,28543017653,82.55
DIANA FORD,28541036707,79.5
ERNEST FERGUSON,28541360717,87.92
ROSE GARZA,28541376044,85.38
BRIAN GRAY,28561740353,96.47
JOSEPH GREENE,28561370408,76.3
HAROLD ELLIOTT,28561034726,84.29
CATHERINE MURPHY,28560437126,80.14
GERALD FORD,28547031626,74.28
ELIZABETH MORENO,28547306153,76.5
LINDA FERGUSON,28560317490,92.52
KATHLEEN WELCH,28546731071,99.4
BRUCE HUDSON,28546703108,91.5
LAURA COLEMAN,28546730180,89.7
CLARENCE CHAVEZ,28567401380,95.02
ANNE REYNOLDS,28567413044,92.52
NORMA KELLY,28564317044,94.74
CAROLYN SANDERS,28570436190,80.88
BOBBY WEAVER,28564103753,82.16
ROBIN VASQUEZ,28564301717,85.45
JULIA WRIGHT,28570641362,78.2
SAMUEL FRAZIER,28564071371,94.07
PATRICK DUNCAN,28563701444,88.74
BRUCE GARDNER,28563071408,80.08
ELIZABETH HAWKINS,28571406308,83.52
RANDY FOX,28571306435,72.65
DEBRA BRYANT,28574160326,86.92
SHARON GONZALES,28574316008,86.52
CRAIG JONES,28571640335,85.29
MARTHA COOK,28571436053,93.81
ELIZABETH HUDSON,28576013444,93.56
MATTHEW FRAZIER,28571064326,97.24
MARK HARRISON,28571046344,82.73
JOSEPH YOUNG,28571034680,82.82
PAUL PAYNE,28601347517,90.64
MATTHEW RUSSELL,28603471517,77.72
PETER MORRIS,28601375480,73.11
KATHLEEN ALLEN,28604137580,81.34
FRED NGUYEN,28601735444,98.35
HOWARD ROGERS,28605471344,79.35
RUBY COLLINS,28601345735,76.09
THERESA HICKS,28576134071,79.3
STEPHANIE JONES,28576340135,78.42
JERRY ELLIS,28576140390,82.54
RUTH LEE,28610745317,74.85
CARLOS FOWLER,28610753417,99.62
JUDITH TORRES,28613074553,95.66
STEPHEN MCDONALD,28610734544,89.07
STEVE ANDERSON,28610473562,73.66
CAROL CRUZ,28610375471,70.6
ERIC WARREN,28610457362,81.03
KIMBERLY CHAPMAN,28607514326,92.88
PAMELA JOHNSTON,28605731435,88.1
MARIA ALLEN,28607413562,90
ARTHUR FRAZIER,28615407371,81.75
JACQUELINE CRUZ,28615307407,93.05
CAROL MYERS,28617304553,93.95
JAMES GRAY,28617530480,73.94
ROBIN HICKS,28614507380,75.36
PHYLLIS WAGNER,28614375026,84.39
JOSE LEE,28614570317,97.99
JULIE LONG,28613405762,79.26
HEATHER GRIFFIN,28614357044,73.05
SHAWN ROSS,28613740553,86.63
SHIRLEY RAMIREZ,28634105717,80.16
JACQUELINE COLE,28631740535,81.89
JONATHAN ROGERS,28634107507,98.89
ANDREW MURRAY,28634051790,82.67
JOE HOWARD,28631704571,82.87
DIANE FULLER,28631475017,80.33
CYNTHIA ROMERO,28631504726,71.82
DOROTHY CASTILLO,28631450707,91.03
GARY AUSTIN,28631047562,97.33
ANGELA COOPER,28630541717,90.76
EVELYN GREEN,28643057126,70.9
CRAIG ALEXANDER,28643071544,72.57
PATRICK GOMEZ,28643105708,79.79
GREGORY FIELDS,28641573062,98.84
RACHEL HUNTER,28635714008,87.01
DAVID REED,28641073507,82.26
ANTONIO FERNANDEZ,28637415008,73.41
GERALD WILLIAMSON,28635417062,92.88
ANNA WASHINGTON,28635410726,75.26
IRENE ROSE,28634710580,71.37
SHIRLEY BANKS,28650347126,91.54
JOHNNY LANE,28650143717,96.8
IRENE CHAPMAN,28647315090,99.6
KEITH SCHMIDT,28650371426,77.66
STEPHEN JACKSON,28647153090,99.21
STEVEN CHAVEZ,28647031571,81.22
WILLIAM PIERCE,28647013590,82.98
PHYLLIS SIMPSON,28645703190,99.71
PHYLLIS HUNTER,28643750107,97.01
PAMELA BAILEY,28643175080,72.8
BRENDA RAMIREZ,28653014780,78.77
THOMAS COLE,28651730462,79.67
LORI GREEN,28654073144,88.91
ROSE LONG,28651470371,95.33
FRED GEORGE,28651407335,77.12
DOUGLAS MCCOY,28651403771,88.04
RAYMOND STEWART,28651307462,86.46
ANDREW JONES,28650741371,80.12
ELIZABETH CLARK,28650713408,94.37
ANGELA GOMEZ,28650471307,83.74
KELLY KING,28670351471,90.45
SARA BURNS,28670153408,88.4
NORMA COOPER,28657410362,71.57
KAREN DAVIS,28670354144,86.33
MARK JENKINS,28657140390,95.11
ALICE PERKINS,28657310490,93.72
ALBERT BERRY,28657304171,70.47
ROGER STEVENS,28654137053,80.48
DORIS RODRIGUEZ,28654170344,90.94
MILDRED HAWKINS,28654107308,87.09
JACK MURPHY,28673415071,95.22
KEITH ARMSTRONG,28671045307,98.53
DIANA ORTIZ,28671340562,82.62
JENNIFER KELLY,28671453090,95.21
SARA BRYANT,28673401526,93.61
EVELYN CARROLL,28671345017,97.65
ELIZABETH POWELL,28670451344,77.97
ROSE PERKINS,28670435144,78.39
DENISE SULLIVAN,28670431580,73.79
JASON FREEMAN,28701354671,85.43
JESSE SANCHEZ,28675140371,88.01
PAMELA SANDERS,28675103417,75.12
MARTIN REID,28675430108,82.68
BRIAN WHEELER,28675043171,95.87
ANTHONY BROWN,28674305180,92.7
JENNIFER FRAZIER,28671450317,70.98
JEFFREY CARPENTER,28674301517,91.92
TERESA WEST,28674130526,84.62
MARILYN HAMILTON,28674015344,92.46
PATRICIA RYAN,28673540135,70.27
LINDA GRANT,28705143608,84.83
DONALD SANDERS,28705316480,75.71
STEPHANIE COLE,28703614590,70.16
NORMA LANE,28703165426,97.93
SHARON FOWLER,28701654390,76.68
JESSE WALLACE,28701643517,89.62
STEPHEN LONG,28701635417,78.33
JEREMY DIAZ,28701634526,98.64
STEVE MITCHELL,28701465317,74.53
SCOTT PRICE,28701453653,93.77
LINDA HAWKINS,28710436553,97.54
RALPH MILLER,28713046535,73.82
BOBBY NGUYEN,28713056417,72.18
RUBY PAYNE,28710645390,71.98
BRIAN RAMIREZ,28706543162,98.21
JACQUELINE SMITH,28710356444,81.65
NORMA KNIGHT,28706514308,74.46
JACQUELINE HANSON,28706431526,92.07
NORMA WEST,28706351417,93.99
STEPHANIE FREEMAN,28706143571,89.81
WILLIE HOWELL,28716350480,90.55
JOYCE CARROLL,28716354044,92.69
CARLOS GARZA,28730154626,83.63
LAURA SANDERS,28715043690,94.09
TINA WALKER,28714650371,91.02
CHRIS MATTHEWS,28714503662,90.02
SUSAN RICHARDS,28714356007,99.6
JUDITH REID,28713650408,73.43
JULIE SANDERS,28713456008,82.6
LAWRENCE PEREZ,28713450662,82.1
CHERYL ELLIS,28734165053,91.23
DEBRA SIMS,28734601562,99.01
PAULA HALL,28734160507,87.53
DIANE RICE,28735064153,96.55
ROSE CAMPBELL,28734156062,80.7
BOBBY MCCOY,28731654053,92.86
BARBARA ELLIS,28731640508,91.15
JOSEPH CRUZ,28731450644,95.96
BRIAN WEBB,28731465080,83.38
CARLOS EVANS,28730465117,72.68
THOMAS POWELL,28741053680,70.8
CATHERINE PRICE,28741306562,83.76
SEAN WATSON,28741360508,88.85
EDWARD GILBERT,28740613526,92.68
HARRY FULLER,28740615308,72.97
GREGORY RICHARDSON,28736415090,90.33
BRIAN LYNCH,28740156362,88.26
AMY MURPHY,28736105490,87.04
BRANDON GARCIA,28736104507,83.77
JUAN LEE,28735641053,82.41
WILLIAM COX,28750431617,81.55
MARGARET PHILLIPS,28750461362,87.27
LOUIS MILLER,28750463144,95.4
JULIE DIXON,28750641344,97.81
SANDRA JOHNSTON,28750361490,83.05
EDWARD RAY,28746153071,94.45
SAMUEL BOWMAN,28750413635,92.58
RYAN HERNANDEZ,28743501680,92.77
ANNE RICHARDSON,28746015353,90.42
HENRY RICHARDSON,28743150608,91.37
FRANK RIVERA,28754601371,76.41
PATRICK DUNCAN,28754061326,79.53
JULIA TORRES,28754106362,73.86
DEBORAH WASHINGTON,28754630126,84.32
CHARLES CAMPBELL,28753416007,86.16
CYNTHIA BENNETT,28753601408,77.16
MARTHA WOODS,28753146026,73.86
KATHY PHILLIPS,28751034662,80.43
WAYNE MEDINA,28753064135,98.26
WILLIAM JACKSON,28751063417,73.03
DEBORAH MORRIS,28760413590,80.34
JIMMY PATTERSON,28760514353,86.35
CLARENCE GARDNER,28760415371,76.22
EDWARD POWELL,28760315407,90.54
JOE CARROLL,28760314508,82.9
LISA LANE,28756410344,75.71
TODD LEE,28756340117,76.82
MATTHEW WHITE,28756304153,86.52
BILLY LITTLE,28756014317,81.3
RYAN KENNEDY,30125647808,83.74
JOSEPH PETERS,30124768571,73.31
JOSHUA MURRAY,30124658717,93.27
MATTHEW BRYANT,28765104307,75.92
RALPH WATKINS,30124586708,76.83
GREGORY LANE,28764351017,74.64
SARA HANSEN,28760135417,80.48
VIRGINIA JACOBS,28764031535,91.91
ARTHUR BURNS,28764105326,70.53
MATTHEW GONZALEZ,28763150417,71.81
JERRY MURPHY,28760534117,95.07
TERESA MORRIS,30127845607,72.51
ALAN SHAW,30128647507,95.54
BONNIE BROWN,30128564717,77.04
DOROTHY WELLS,30127864571,99.82
DOUGLAS PETERSON,30126547807,84.97
JOAN FORD,30127568417,73.9
THERESA JONES,30126487553,97.28
JENNIFER FIELDS,30126457808,74.25
JEREMY ARMSTRONG,30125846762,98.24
NICOLE SANDERS,30125876408,76.03
TERESA LANE,30145826708,82.4
ANNIE WHITE,30145678253,98.57
ANNIE STEWART,30145628744,89.87
MARIA SULLIVAN,30145867226,89.14
KEITH SIMMONS,30145627853,98.05
PAMELA GRIFFIN,30142687553,83.96
GREGORY SIMMONS,30142856762,99.2
MILDRED RAMOS,30142578690,94.64
EARL ROGERS,30128754680,97.06
ANDREW ROBERTS,30142568708,87.38
KENNETH LITTLE,30148657290,92.29
RACHEL PERRY,30148627544,72.79
TODD GARDNER,30148672507,85.4
CARL LONG,30148762590,74.15
JUDITH MORRISON,30147862507,94.93
PAULA PETERSON,30147526817,93.64
MICHELLE HALL,30147685290,88.58
BOBBY PARKER,30147285607,95.16
KAREN RUIZ,30146582780,73.88
JACQUELINE WARREN,30146287517,75.85
RICHARD CRUZ,30154786217,91.96
PATRICIA COX,30156874253,95.48
RUSSELL CLARK,30154876208,77.42
HEATHER BENNETT,30154862762,79.93
NANCY HARVEY,30152864717,95.41
ANNIE FERNANDEZ,30154286753,81.64
BRIAN LYNCH,30152784608,86.84
JOSEPH BURKE,30152764844,75.42
ASHLEY HAMILTON,30152648771,82.89
GREGORY REID,30152467807,89.61
KATHERINE BROOKS,30164527826,80.1
RONALD WAGNER,30158764226,77.72
ALBERT MOORE,30158742680,97.22
DOUGLAS COLE,30162875444,84.15
ROBIN EVANS,30158624726,73.47
CATHERINE JENKINS,30158426762,80.81
TINA LAWSON,30158274644,92.86
JEFFREY ANDREWS,30157264807,87.34
KENNETH CHAVEZ,30157824608,77.7
JOSE WILLIAMSON,30157862453,96.73
VIRGINIA RICE,30168725444,71.52
CHARLES WOODS,30168254735,96.12
SAMUEL GOMEZ,30172458617,91.96
TODD LARSON,30168257408,95.56
SARAH SANDERS,30167852426,89.69
JUAN WEAVER,30167825453,78.43
ALAN THOMAS,30167425862,81.79
ROY WILSON,30167284517,78.15
PAULA MCDONALD,30164852735,95.05
AARON DUNCAN,30165782471,91.3
MATTHEW RYAN,30175824690,79.22
PATRICIA BRADLEY,30178654280,93.93
PETER MARTINEZ,30182456790,70.5
SHIRLEY FERNANDEZ,30178256471,98.98
DONNA THOMAS,30176285407,74.04
SANDRA FULLER,30178265462,88.21
DIANA MEDINA,30175468290,93.53
EDWARD HOLMES,30174582617,84.51
JOYCE STEVENS,30172645808,88.21
ANN HOLMES,30172485690,77.45
KEITH MONTGOMERY,30187426562,73.43
JULIE GUTIERREZ,30187624526,74.3
LARRY RUIZ,30187642508,91.62
WILLIE GONZALES,30187542635,75.32
SARA CARPENTER,30185672426,78.12
CAROL GRANT,30185674208,91.49
JESSICA RILEY,30185267408,91.64
CRAIG WOOD,30182756408,73.21
HARRY GUTIERREZ,30182745635,91.56
SEAN PALMER,30182476553,85.22
BENJAMIN JACOBS,30218465726,86.96
JEAN COOK,30217546862,88.88
BRIAN PIERCE,30216784590,95.58
GEORGE WASHINGTON,30217485626,92.16
LOIS HAYES,30216587417,86.64
PHILLIP OLSON,30215786408,72.15
SHIRLEY REID,30215764862,73.37
KEITH GILBERT,30214875644,95.93
JOAN MARTINEZ,30214867544,83.75
HOWARD BARNES,30214857662,94.41
ROGER BISHOP,30245167862,81.18
LINDA RUSSELL,30245861726,78.94
SARAH KELLEY,30245687190,94.83
CHRISTOPHER PARKER,30246758171,71
EUGENE MONTGOMERY,30241865735,71.91
KENNETH GREEN,30241867517,72.52
ANN HANSON,30218647590,86.65
LILLIAN CARR,30218645708,97.73
ANDREA SANDERS,30218574690,74.22
NORMA ROSE,30251678407,90.94
MICHAEL GARZA,30251786471,81.7
LOUIS GARZA,30248617508,86.99
JIMMY POWELL,30248615726,81.16
PETER HANSEN,30247618535,82.67
CATHERINE BURNS,30247186562,84.99
PATRICK KIM,30247586153,90.35
CHERYL HARRISON,30246815744,92.54
SAMUEL LANE,30246817526,79.39
THOMAS GRIFFIN,30241768535,75.73
KEITH MILLS,30257486135,90.27
WILLIE HENDERSON,30256784108,74.66
JESSICA THOMAS,30256471835,86.82
LISA BURTON,30256874107,82.45
MARIA MORRIS,30256817480,83.1
JEAN RODRIGUEZ,30256748144,97.76
STEVE GRAHAM,30251468771,81.22
RYAN KELLEY,30256148708,83.38
NICOLE FERGUSON,30254718671,99.6
LARRY BRYANT,30254168744,85.48
KATHLEEN SPENCER,30254861717,81.3
VICTOR FRANKLIN,30264581717,73.02
JULIA RICHARDS,30265147808,77.51
ANTONIO HICKS,30264175808,82.96
JANICE GARRETT,30261854771,91.73
MARTIN PRICE,30261578480,94.38
CLARENCE MATTHEWS,30261584707,89.23
CHRISTINE SNYDER,30258761407,82.87
JOE GORDON,30258417617,72.75
JOSE MORGAN,30257814671,73.53
DOUGLAS FOSTER,30257841644,73.63
JIMMY SIMS,30271648562,89.47
DORIS WILLIAMS,30271468580,79.17
RACHEL PERKINS,30271685417,73.26
BRUCE BELL,30271465808,87.78
LOUIS MARSHALL,30268547190,92.05
ANNE MILLER,30267815417,74.03
ARTHUR CHAVEZ,30267184590,87.57
ELIZABETH JOHNSTON,30265781426,85.95
ROBIN SIMMONS,30265748135,86.74
SHIRLEY WELCH,30267158408,71.89
PAUL FOX,30276145844,81.51
DOROTHY RYAN,30276518462,96.55
ANDREA RAMOS,30276154835,87.92
CRAIG DIAZ,30276485190,78.6
KATHERINE CHAPMAN,30275184617,94.59
LORI MEYER,30275468135,73.52
DOUGLAS GREENE,30274851644,79.65
BILLY REYNOLDS,30274518635,85.74
SHAWN SIMMONS,30271856408,79.09
EVELYN PETERSON,30274168553,96.62
JANE ROBERTS,30281647526,95.18
HARRY GORDON,30284165735,77.76
ANDREW LAWSON,30284176508,73.66
CHRIS ROBERTS,30278561462,73.07
KAREN CRUZ,30284617571,71.57
PATRICK DAY,30281674507,73.37
WAYNE ROBINSON,30281754608,76.82
GREGORY HUNTER,30278451608,98.76
ALAN COX,30278416535,85.23
JUSTIN ROBERTS,30278461590,73.63
CAROLYN SNYDER,30412768526,88.52
WILLIAM OLIVER,30287416526,75.42
JUDY FIELDS,30287164535,84.17
LOUISE CASTILLO,30412657880,72.85
SARAH GARDNER,30286574144,71.92
ANGELA FIELDS,30286741571,76.38
DOROTHY HART,30286517426,90.53
JERRY WRIGHT,30285617435,83.92
PHILIP GRAHAM,30285461753,72.99
LOUIS WATKINS,30286154790,83.9
JOSHUA JONES,30418257671,97.27
TERRY MASON,30417526890,99.21
RICHARD MCDONALD,30418526753,81.86
CYNTHIA JENKINS,30417268580,80.86
GLORIA ROBINSON,30416527817,90.68
CHRIS BURTON,30415876290,82.69
KIMBERLY JORDAN,30416728553,80.12
NORMA COX,30415827671,81.08
JUDY MORRISON,30412875608,94.51
JULIE KNIGHT,30425761835,87.16
BENJAMIN ALLEN,30425768171,86.9
PAULA SULLIVAN,30425861708,82.38
ANNA HENDERSON,30425718662,88.34
JOSEPH HUGHES,30425687171,74.81
RANDY KIM,30425671844,90.47
KATHRYN RUSSELL,30421856726,79.59
SEAN NELSON,30421756853,91.4
NICOLE JACKSON,30421765844,82.16
CHRISTINA PALMER,30425178617,98.51
ERIC MITCHELL,30452718635,74.61
JUDITH RIVERA,30452817617,70.34
RAYMOND VASQUEZ,30412856735,89.4
JEFFREY HICKS,30428651771,84.96
LORI BERRY,30427185653,90.97
BETTY BURTON,30427681553,79.8
DENISE SIMPSON,30428567126,79.3
WILLIE MITCHELL,30427168562,75.44
EARL MORALES,30427158680,77.95
JULIA PRICE,30426185790,71.6
ANGELA WEBB,30426851790,75.77
BOBBY DUNN,30458126780,94.88
CHERYL HUDSON,30461857235,95.44
LARRY RICE,30461278553,96.39
JERRY PERRY,30458762180,77.63
KATHY FRANKLIN,30457862190,70.58
BRIAN MONTGOMERY,30457216808,70.44
ERIC JACOBS,30457682108,86.4
ALBERT GEORGE,30456281762,94.24
SHAWN DAY,30452861780,80.03
CHRISTINA ROBERTSON,30452871662,99.39
LOUIS PIERCE,30462715817,74.82
CHRISTINE MORRIS,30465218717,91.46
JOHN ROBINSON,30462815790,79.48
CHARLES WEAVER,30465812708,74.29
TERRY FLORES,30462817571,92.12
BARBARA WALKER,30465217826,72.51
MARY ARMSTRONG,30465781217,92.93
LOIS JONES,30462571807,85.12
THERESA CARTER,30461875217,82.19
BRIAN WARD,30462187535,99.97
SHARON MURRAY,30468752153,72.18
AARON ALVAREZ,30468751262,77.09
FRANCES RICHARDS,30471528617,75.28
WALTER MORRIS,30471825662,74.8
JACK BERRY,30468527117,82.94
LOUISE MURRAY,30468215735,82.96
KELLY HOLMES,30467852162,96.95
KIMBERLY HAWKINS,30467512817,80.66
ROGER FULLER,30467285144,76.38
SAMUEL NICHOLS,30467152853,72.9
RALPH PATTERSON,30475816226,92.5
ANTHONY KELLEY,30478516207,91.68
MARIA TUCKER,30475128680,75.73
PHYLLIS SIMMONS,30478152671,75.11
DANIEL REED,30472586190,71.46
HENRY FRAZIER,30472561871,84.37
CHERYL GARDNER,30472516817,85.42
TERRY PIERCE,30472165844,90.44
LILLIAN RICE,30471856207,94.81
JOYCE RODRIGUEZ,30471852635,78.9
ANDREW ROMERO,30485612771,75.34
DANIEL CHAVEZ,30485162717,90.06
MELISSA OWENS,30485127644,92.35
MARTIN BERRY,30486251780,84.59
MARK NELSON,30481726535,98.33
PHILLIP ROBINSON,30482157607,99.65
CHERYL WILLIAMSON,30481675280,88.04
LARRY GREEN,30478521626,70.95
CARLOS PAYNE,30481576207,79.32
LARRY FREEMAN,30478526180,89.65
ALICE WARD,30512647844,87.24
TODD STEVENS,30512846707,75.88
NICOLE BENNETT,30514672862,79.06
JULIE GRAY,30514628707,84.35
GARY WELLS,30487652126,96.13
DOROTHY MURPHY,30512467862,88.81
JESSE BRADLEY,30486712508,83.39
RUSSELL FREEMAN,30486517217,75.04
FRANK POWELL,30486275108,72.38
ANDREA FOWLER,30517864207,77.5
ANNE JONES,30516728407,78.26
RALPH ROSS,30517624826,85.65
VICTOR KENNEDY,30516824708,76.27
JERRY MATTHEWS,30517248662,73.54
HELEN KENNEDY,30517842653,81.68
MARIA RICHARDS,30514827653,73.42
DONNA BANKS,30516274880,72.5
KATHLEEN MENDOZA,30514872608,88.64
DIANA WELCH,30516487280,71.87
JOSHUA BURKE,30487162544,74.3
JERRY COX,30527164844,79.01
KEITH GARRETT,30526817453,97.8
KATHERINE MORENO,30526174862,98.08
ASHLEY CASTILLO,30521786444,90.53
PAULA MILLS,30524678162,74.1
LOUIS JORDAN,30521764807,70.07
CHRISTOPHER MORENO,30524871671,91.18
CAROL DIAZ,30521486726,90.57
DOROTHY BRADLEY,30518724662,73.4
MICHELLE VASQUEZ,30518427617,79.25
KIMBERLY ROBERTSON,30528614762,90.07
ROBERT BERRY,30528641735,93.83
DENISE MCCOY,30528146726,72.41
KATHLEEN NELSON,30527861480,72.06
ARTHUR PHILLIPS,30527841617,90.03
LILLIAN ALVAREZ,30527641871,99.48
HELEN BURTON,30527418617,92.3
ROSE LAWSON,30527486108,75.38
STEPHEN FRANKLIN,30528761471,81.53
ALICE HERNANDEZ,30528674153,95.96
JEAN BELL,30542178680,77.39
CARL MORGAN,30548617244,84.39
CATHERINE LAWRENCE,30547281617,91.52
EUGENE SCHMIDT,30542681790,82.94
THOMAS HICKS,30542786117,82.29
RUTH JOHNSTON,30542876108,78.71
RUBY KNIGHT,30546127835,98.36
BRANDON ALVAREZ,30542167808,85.79
GERALD RYAN,30541687271,70.31
THOMAS MORRIS,30541768271,86.68
ANN BROWN,30564127817,82.52
VIRGINIA CUNNINGHAM,30562714871,90.98
CHERYL THOMAS,30562184708,90.67
JERRY WRIGHT,30562478108,96.01
BARBARA LARSON,30561872490,73.15
NANCY BENNETT,30561748217,88.11
TINA WRIGHT,30561742871,77.9
ERNEST BURKE,30561728453,90.94
RONALD HART,30561274835,87.06
JACQUELINE WILLIAMS,30548726108,72.06
ERNEST FERGUSON,30568247108,96.39
CATHERINE MARSHALL,30567214826,71.32
BETTY PHILLIPS,30567418235,78.9
MICHAEL RUIZ,30568472144,89.01
KIMBERLY FERNANDEZ,30567142817,70.23
STEPHANIE ROSE,30567124835,91.24
DOROTHY PERKINS,30567148262,73.37
LOUISE FERGUSON,30564782190,89.81
JACQUELINE ROGERS,30564821780,81.86
ANGELA BRYANT,30564218707,93.14
CHRISTOPHER JENKINS,30574281690,99.01
JOYCE DUNCAN,30576142808,84.39
SHAWN RILEY,30574821635,76.12
TIMOTHY CRUZ,30574681280,70.85
JEREMY RICE,30572186444,83.3
DORIS DIAZ,30572864108,70.31
JACK MORENO,30572618417,78.52
CAROLYN WASHINGTON,30571826407,96.27
CHRIS YOUNG,30572148607,71.42
ALAN RICHARDS,30568741226,83.57
PHILLIP MEYER,30584627190,92.52
CARLOS FRAZIER,30584261780,73.25
LAURA WATSON,30582476135,97
MICHELLE SIMPSON,30578162407,70.81
HEATHER GARCIA,30584167253,81.78
LISA LEE,30578621444,73.32
MARIA PAYNE,30581674235,96.17
TODD ROGERS,30578146207,87.12
AARON HARVEY,30578124653,90.65
DAVID NGUYEN,30576814253,77.03
HAROLD MONTGOMERY,30614278562,87.56
DAVID LEE,30587614226,83.78
CARLOS GRIFFIN,30612475808,80.83
ANTONIO COOK,30587264144,99.05
DEBORAH GARRETT,30587214635,91.31
BENJAMIN TURNER,30587612444,76.8
CYNTHIA PARKER,30612574890,79.51
NICHOLAS DEAN,30587162490,80
JOHNNY STEWART,30587142626,98.26
GERALD MENDOZA,30586147217,97.18
ANNA PRICE,30618257462,83.82
RANDY CARTER,30621475807,79.58
SANDRA THOMPSON,30618245707,76.09
WILLIAM LYNCH,30617842507,90.34
DORIS RODRIGUEZ,30617245835,76.43
KATHLEEN CAMPBELL,30615874207,93.38
STEVE WATSON,30615824790,78.25
NICOLE AUSTIN,30614827507,81.15
AMANDA STANLEY,30614875226,94.23
JACQUELINE HARRISON,30614857244,84.72
JOSEPH LOPEZ,30627145817,96.49
GEORGE CAMPBELL,30627841562,87.43
STEPHANIE TORRES,30627851444,76.87
THERESA LONG,30628417535,85.56
JOHNNY FULLER,30625871480,83.47
RALPH LAWRENCE,30625471890,78.77
DIANE PHILLIPS,30625174844,80.92
GERALD LEE,30621875490,78.27
RUBY ELLIS,30624851753,92.71
WALTER RICHARDS,30625147871,85.53
